"release_group","worldwide","avg_domestic_percent","avg_foreign_percent","rating","vote_count"
"Natale a Miami","25643184.000000000000","0.00000000000000000000","100.0000000000000000","5.127","504.0"
"The Shipping News","24690441.000000000000","46.3000000000000000","53.7000000000000000","6.400","376.0"
"Your Turn to Kill","16511822.000000000000","0.00000000000000000000","100.0000000000000000","6.500","2.0"
"The Animal Kingdom","9223430.000000000000","0.10000000000000000000","99.9000000000000000","7.000","714.0"
"Florence Foster Jenkins","48902953.000000000000","56.0000000000000000","44.0000000000000000","6.666","1449.0"
"Casshern","12353768.000000000000","0.00000000000000000000","100.0000000000000000","5.900","241.0"
"The in Crowd","5280035.000000000000","100.0000000000000000","0.00000000000000000000","4.600","54.0"
"The Four 3","31521335.000000000000","0.00000000000000000000","100.0000000000000000","6.000","57.0"
"Amsterdam","31245810.000000000000","47.8000000000000000","52.2000000000000000","6.049","1513.0"
"Anna","31626978.000000000000","24.5000000000000000","75.5000000000000000","6.712","2702.0"
"Scoob!","28588425.000000000000","7.7000000000000000","92.3000000000000000","7.042","1699.0"
"The Perks of Being a Wallflower","33384127.000000000000","53.1000000000000000","46.9000000000000000","7.800","10465.0"
"Caught in Time","80543319.000000000000","0.00000000000000000000","100.0000000000000000","6.400","38.0"
"Deuce Bigalow: European Gigolo","45109561.000000000000","49.7000000000000000","50.3000000000000000","5.279","922.0"
"American Underdog","26514814.000000000000","100.0000000000000000","0.00000000000000000000","7.112","345.0"
"Billy Lynn's Long Halftime Walk","30930984.000000000000","5.6000000000000000","94.4000000000000000","6.021","563.0"
"Born in China","25081168.000000000000","55.3000000000000000","44.7000000000000000","7.300","160.0"
"Lindenberg! Mach dein Ding","6404964.000000000000","0.00000000000000000000","100.0000000000000000","6.400","43.0"
"Let Him Go","10835686.000000000000","86.4000000000000000","13.6000000000000000","6.800","665.0"
"Stranger Than Fiction","53653224.000000000000","75.8000000000000000","24.2000000000000000","7.278","2275.0"
"A Monster Calls","47309313.000000000000","7.9000000000000000","92.1000000000000000","7.300","3305.0"
"Suicide Squad","749200054.00000000","43.4000000000000000","56.6000000000000000","5.900","21143.0"
"The Day the Earth Stood Still","233093859.00000000","34.0000000000000000","66.0000000000000000","5.626","3402.0"
"Sky of Love","36684020.000000000000","0.00000000000000000000","100.0000000000000000","7.700","168.0"
"Lyubov 2 Morkov","19171562.000000000000","0.00000000000000000000","100.0000000000000000","4.600","34.0"
"Philomena","100129872.000000000000","37.7000000000000000","62.3000000000000000","7.354","1601.0"
"Maison de retraite","15570823.000000000000","0.00000000000000000000","100.0000000000000000","5.900","284.0"
"Monster Hunt 2","361682618.00000000","0.20000000000000000000","99.8000000000000000","6.700","127.0"
"Chicago","306776732.00000000","55.6000000000000000","44.4000000000000000","7.100","2616.0"
"Jian Bing Man","186683536.000000000000","0.00000000000000000000","100.0000000000000000","5.100","64.0"
"Orphan","77912251.000000000000","53.4000000000000000","46.6000000000000000","6.998","5247.0"
"Doctor Strange","677718395.00000000","34.3000000000000000","65.7000000000000000","7.422","22171.0"
"The Pacifier","198636868.000000000000","56.9000000000000000","43.1000000000000000","6.061","3039.0"
"Too Cool to Kill","217254604.00000000","0.00000000000000000000","99.9000000000000000","6.200","37.0"
"Twosabu ilchae","30622421.000000000000","0.00000000000000000000","100.0000000000000000","5.300","20.0"
"Half a Confession","14638660.000000000000","0.00000000000000000000","100.0000000000000000","7.200","4.0"
"Snow Dogs","115035090.000000000000","70.6000000000000000","29.4000000000000000","5.617","727.0"
"Super Size Me","20645757.000000000000","55.9000000000000000","44.1000000000000000","6.760","1646.0"
"Mad Money","26412163.000000000000","78.3000000000000000","21.7000000000000000","6.462","664.0"
"Ghost Ship","68349884.000000000000","44.1000000000000000","55.9000000000000000","5.966","2407.0"
"In America","25382911.000000000000","61.2000000000000000","38.8000000000000000","7.166","343.0"
"Animal World","74922830.000000000000","0.00000000000000000000","100.0000000000000000","7.000","230.0"
"Hidden Man","85170581.000000000000","0.00000000000000000000","100.0000000000000000","6.700","67.0"
"Drive-Away Dolls","7935363.000000000000","63.4000000000000000","36.6000000000000000","5.461","375.0"
"Old Dogs","96753696.000000000000","51.2000000000000000","48.8000000000000000","5.542","734.0"
"The Original Kings of Comedy","38182790.000000000000","100.0000000000000000","0.00000000000000000000","6.100","55.0"
"I Do: How to Get Married and Stay Single","30057369.000000000000","0.00000000000000000000","100.0000000000000000","6.404","319.0"
"When a Stranger Calls","67062123.000000000000","71.4000000000000000","28.6000000000000000","5.800","1038.0"
"Jail Breakers","17797711.000000000000","0.00000000000000000000","100.0000000000000000","6.400","12.0"
"The Light Between Oceans","25975621.000000000000","48.3000000000000000","51.7000000000000000","7.100","1348.0"
"Mission: Impossible - Rogue Nation","682714267.00000000","28.6000000000000000","71.4000000000000000","7.206","8837.0"
"Tidal Wave","71283278.000000000000","0.00000000000000000000","100.0000000000000000","6.900","454.0"
"Cry Wolf","32586408.000000000000","30.8000000000000000","69.2000000000000000","5.800","539.0"
"Paranormal Activity","193355800.000000000000","55.8000000000000000","44.2000000000000000","6.009","5024.0"
"Jawan","28499044.000000000000","53.3000000000000000","46.7000000000000000","7.200","254.0"
"Wolf Children","54984346.000000000000","0.00000000000000000000","100.0000000000000000","8.227","2290.0"
"20th Century Boys 2: The Last Hope","29502213.000000000000","0.00000000000000000000","100.0000000000000000","6.700","67.0"
"Little Fockers","310650585.00000000","47.8000000000000000","52.2000000000000000","5.647","3217.0"
"A Haunted House","60159584.000000000000","66.6000000000000000","33.4000000000000000","5.900","1897.0"
"Wolfhound","21573338.000000000000","0.00000000000000000000","100.0000000000000000","5.463","81.0"
"De Gaulle","7501454.000000000000","0.00000000000000000000","100.0000000000000000","6.100","269.0"
"The Boxtrolls","108255770.000000000000","47.0000000000000000","53.0000000000000000","6.700","1673.0"
"1921","75159828.000000000000","0.00000000000000000000","100.0000000000000000","6.100","10.0"
"The Hangover","468812793.00000000","59.2000000000000000","40.8000000000000000","7.323","16896.0"
"Welcome","31203567.000000000000","0.00000000000000000000","100.0000000000000000","6.719","153.0"
"Supernova","14828081.000000000000","96.0000000000000000","4.0000000000000000","4.900","384.0"
"The Himalayas","50544493.000000000000","1.40000000000000000000","98.6000000000000000","6.667","27.0"
"Manta, Manta: Legacy","13078126.000000000000","0.00000000000000000000","100.0000000000000000","4.900","63.0"
"Fast Five","626137675.00000000","33.5000000000000000","66.5000000000000000","7.200","8196.0"
"Dr. Cheon and Lost Talisman","14574445.000000000000","0.60000000000000000000","99.4000000000000000","6.000","44.0"
"The Marine","22165608.000000000000","85.0000000000000000","15.0000000000000000","5.963","761.0"
"Guy Ritchie's the Covenant","21948551.000000000000","77.2000000000000000","22.8000000000000000","7.771","2550.0"
"The Order","11560806.000000000000","66.3000000000000000","33.7000000000000000","0.000","0.0"
"The Prince and the Pirate","8579972.000000000000","0.00000000000000000000","100.0000000000000000","5.411","197.0"
"Unfriended","62882090.000000000000","51.7000000000000000","48.3000000000000000","5.500","3322.0"
"Happy Death Day 2U","64600152.000000000000","43.6000000000000000","56.4000000000000000","6.308","3377.0"
"Bamboozled","2463650.000000000000","92.3000000000000000","7.7000000000000000","6.200","129.0"
"Drive Angry","40909909.000000000000","26.2000000000000000","73.8000000000000000","5.528","1852.0"
"Bend It Like Beckham","76583333.000000000000","42.5000000000000000","57.5000000000000000","6.317","1891.0"
"Kitaro","18856642.000000000000","0.00000000000000000000","100.0000000000000000","5.100","12.0"
"On the Wandering Paths","8187567.000000000000","0.00000000000000000000","100.0000000000000000","6.400","156.0"
"Grudge Match","44907260.000000000000","66.4000000000000000","33.6000000000000000","6.097","1280.0"
"Don","8287406.000000000000","0.00000000000000000000","100.0000000000000000","7.000","40.0"
"The Asadas","11888743.000000000000","0.00000000000000000000","100.0000000000000000","7.300","138.0"
"The Life of David Gale","38955598.000000000000","51.2000000000000000","48.8000000000000000","7.425","2020.0"
"Rock of Ages","59418613.000000000000","64.8000000000000000","35.2000000000000000","6.217","1261.0"
"Remember Me, My Love","12671306.000000000000","1.80000000000000000000","98.2000000000000000","5.822","236.0"
"Mary Queen of Scots","46712809.000000000000","35.3000000000000000","64.7000000000000000","6.564","1778.0"
"Creed II","214215889.00000000","54.0000000000000000","46.0000000000000000","7.034","5427.0"
"Pandemic","20712567.000000000000","0.00000000000000000000","100.0000000000000000","4.200","17.0"
"Two Weeks Notice","199043242.000000000000","46.9000000000000000","53.1000000000000000","6.360","2037.0"
"Dad","9267397.000000000000","0.00000000000000000000","100.0000000000000000","6.000","297.0"
"Radical","21830921.000000000000","39.9000000000000000","60.1000000000000000","8.364","425.0"
"Kiss Kiss Bang Bang","15785148.000000000000","26.9000000000000000","73.1000000000000000","7.168","2671.0"
"Mr. Holmes","29355203.000000000000","60.4000000000000000","39.6000000000000000","6.467","1835.0"
"The Lorax","348961366.00000000","61.4000000000000000","38.6000000000000000","6.497","3552.0"
"Signs","408247917.00000000","55.8000000000000000","44.2000000000000000","6.699","5642.0"
"Out of Time","55495563.000000000000","74.0000000000000000","26.0000000000000000","6.334","1162.0"
"Épouse-moi mon pote","21571464.000000000000","0.00000000000000000000","100.0000000000000000","6.300","972.0"
"The New Adventures of Aladdin","35771820.000000000000","0.00000000000000000000","100.0000000000000000","4.728","867.0"
"Black Adam","393452111.00000000","42.7000000000000000","57.3000000000000000","6.895","6320.0"
"Sex Tape","126069509.000000000000","30.6000000000000000","69.4000000000000000","5.402","4038.0"
"Training Day","104876233.000000000000","73.1000000000000000","26.9000000000000000","7.500","5920.0"
"Dirty Dancing: Havana Nights","27685016.000000000000","51.2000000000000000","48.8000000000000000","6.387","652.0"
"RV","87528173.000000000000","81.9000000000000000","18.1000000000000000","5.862","1669.0"
"The Big Shot","56040681.000000000000","0.00000000000000000000","100.0000000000000000","6.000","27.0"
"Alexander","167298192.000000000000","20.5000000000000000","79.5000000000000000","5.940","3259.0"
"The Physician","57284237.000000000000","0.00000000000000000000","100.0000000000000000","7.343","1065.0"
"¡A todo tren! Destino Asturias","9544171.000000000000","0.00000000000000000000","100.0000000000000000","5.600","148.0"
"The Rookie","80693537.000000000000","93.7000000000000000","6.3000000000000000","6.800","444.0"
"The Legend of Maula Jatt","13941539.000000000000","36.0000000000000000","64.0000000000000000","8.300","10.0"
"Born to Be Wild","41644475.000000000000","62.4000000000000000","37.6000000000000000","7.000","66.0"
"Crazy, Stupid, Love.","145051197.000000000000","58.2000000000000000","41.8000000000000000","7.257","8526.0"
"Beerfest","20387597.000000000000","94.1000000000000000","5.9000000000000000","5.867","541.0"
"One Second","10791301.000000000000","0.00000000000000000000","100.0000000000000000","7.447","95.0"
"Nightcrawler","47425835.000000000000","68.3000000000000000","31.7000000000000000","7.708","10786.0"
"Cheaper by the Dozen","190212113.000000000000","72.9000000000000000","27.1000000000000000","6.287","2772.0"
"Mama Weed","5461144.000000000000","0.50000000000000000000","99.5000000000000000","5.800","264.0"
"22 Bullets","21695883.000000000000","0.00000000000000000000","100.0000000000000000","6.700","1200.0"
"Horton Hears a Who!","298572799.00000000","51.8000000000000000","48.2000000000000000","6.496","3264.0"
"Get Out","255407969.00000000","68.9000000000000000","31.1000000000000000","7.617","17502.0"
"Assassination","96119773.000000000000","2.0000000000000000","98.0000000000000000","7.300","195.0"
"500 Days of Summer","60722734.000000000000","53.3000000000000000","46.7000000000000000","7.300","10176.0"
"Undisputed","14946150.000000000000","85.4000000000000000","14.6000000000000000","6.533","726.0"
"Aloha","26250020.000000000000","80.3000000000000000","19.7000000000000000","5.506","2030.0"
"Ainbo","10172403.000000000000","0.00000000000000000000","100.0000000000000000","7.000","434.0"
"Pushpa: The Rule - Part 2","21530578.000000000000","60.4000000000000000","39.6000000000000000","7.000","33.0"
"Woman on Top","10194274.000000000000","49.2000000000000000","50.8000000000000000","6.100","237.0"
"Vanilla Sky","203388341.00000000","49.5000000000000000","50.5000000000000000","6.813","4144.0"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","745013115.00000000","39.2000000000000000","60.8000000000000000","7.134","10662.0"
"Pil's Adventures","8567345.000000000000","0.00000000000000000000","100.0000000000000000","6.700","184.0"
"Jeepers Creepers","59217789.000000000000","64.0000000000000000","36.0000000000000000","6.500","3006.0"
"Alien: Covenant","240891763.00000000","30.8000000000000000","69.2000000000000000","6.153","8674.0"
"Soulmate","24684439.000000000000","0.00000000000000000000","100.0000000000000000","7.200","68.0"
"Into the Wild","56674477.000000000000","32.4000000000000000","67.6000000000000000","7.799","9524.0"
"The Grudge 2","70711175.000000000000","55.4000000000000000","44.6000000000000000","5.525","1020.0"
"Luck-Key","48913975.000000000000","1.00000000000000000000","99.0000000000000000","7.100","129.0"
"Jackass: The Movie","79493831.000000000000","80.8000000000000000","19.2000000000000000","6.306","1564.0"
"The Lady in the Van","41387687.000000000000","24.2000000000000000","75.8000000000000000","6.422","740.0"
"Guru","24108727.000000000000","8.7000000000000000","91.3000000000000000","6.800","124.0"
"How to Be a Latin Lover","62547032.000000000000","51.4000000000000000","48.6000000000000000","6.900","617.0"
"Jeanne du Barry","13568450.000000000000","0.00000000000000000000","100.0000000000000000","7.000","537.0"
"Abandon","12302219.000000000000","87.2000000000000000","12.8000000000000000","4.800","163.0"
"Mobile Suit Gundam SEED Freedom","36038764.000000000000","0.00000000000000000000","100.0000000000000000","6.600","53.0"
"Star Trek","385680446.00000000","66.8000000000000000","33.2000000000000000","7.430","9868.0"
"Mr. & Mrs. Smith","487287646.00000000","38.2000000000000000","61.8000000000000000","6.687","10390.0"
"Get Over It","19900366.000000000000","58.2000000000000000","41.8000000000000000","5.600","285.0"
"The Front Line","20629645.000000000000","0.00000000000000000000","99.9000000000000000","7.200","186.0"
"There's Still Tomorrow","49685782.000000000000","0.00000000000000000000","100.0000000000000000","8.100","1258.0"
"The Whale","57615635.000000000000","30.3000000000000000","68.7000000000000000","7.839","3915.0"
"America's Sweethearts","138307673.000000000000","67.7000000000000000","32.3000000000000000","5.711","824.0"
"Hidden Figures","235956898.00000000","71.9000000000000000","28.1000000000000000","8.057","9747.0"
"13 Going on 30","96455697.000000000000","59.3000000000000000","40.7000000000000000","6.750","5122.0"
"8 Women","42426583.000000000000","7.3000000000000000","92.7000000000000000","6.900","980.0"
"Anora","30246869.000000000000","46.6000000000000000","53.4000000000000000","6.900","590.0"
"Deliver Us from Evil","87937815.000000000000","34.8000000000000000","65.2000000000000000","6.243","2041.0"
"Bewitched","131426169.000000000000","48.2000000000000000","51.8000000000000000","5.100","1540.0"
"Where the Crawdads Sing","144353965.000000000000","62.5000000000000000","37.5000000000000000","7.600","1805.0"
"If I Stay","78274843.000000000000","64.5000000000000000","35.5000000000000000","7.372","4173.0"
"Evolution","98376292.000000000000","39.0000000000000000","61.0000000000000000","6.081","2229.0"
"Quarantine","41319906.000000000000","76.7000000000000000","23.3000000000000000","5.752","1236.0"
"Girls on Top","10038662.000000000000","0.00000000000000000000","100.0000000000000000","5.200","99.0"
"Billy Elliot","109280263.000000000000","20.1000000000000000","79.9000000000000000","7.595","3826.0"
"An Education","26096852.000000000000","48.2000000000000000","51.8000000000000000","6.940","1302.0"
"Deutschland. Ein Sommermärchen","31257991.000000000000","0.00000000000000000000","100.0000000000000000","6.800","48.0"
"Diary of a Wimpy Kid: Dog Days","77229695.000000000000","63.5000000000000000","36.5000000000000000","6.294","950.0"
"The Monuments Men","155641650.000000000000","50.1000000000000000","49.9000000000000000","6.058","3580.0"
"Baba Parasi","5084342.000000000000","0.00000000000000000000","100.0000000000000000","4.800","27.0"
"2009: Lost Memories","12049825.000000000000","0.00000000000000000000","100.0000000000000000","6.200","71.0"
"Camping 2","33857735.000000000000","0.00000000000000000000","100.0000000000000000","4.835","629.0"
"Ducobu passe au vert!","7510050.000000000000","0.00000000000000000000","100.0000000000000000","4.700","21.0"
"Brooklyn's Finest","36440201.000000000000","74.5000000000000000","25.5000000000000000","6.291","897.0"
